gender,SeniorCitizen,Partner,Dependents,tenure,PhoneService,MultipleLines,OnlineSecurity,OnlineBackup,DeviceProtection,TechSupport,StreamingTV,StreamingMovies,PaperlessBilling,MonthlyCharges,TotalCharges,Churn,InternetService_Fiber optic,InternetService_No,Contract_One year,Contract_Two year,PaymentMethod_Credit card (automatic),PaymentMethod_Electronic check,PaymentMethod_Mailed check,tenure_group_0-12m,tenure_group_12-24m,tenure_group_24-48m,tenure_group_48-60m,tenure_group_60m+,AvgMonthlySpend
Female,No,1,1,69,1,Yes,Yes,Yes,Yes,Yes,Yes,Yes,0,113.25,7895.15,0,True,False,False,True,True,False,False,False,False,False,False,True,112.78785714285713
Female,No,0,0,52,1,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,0,20.65,1022.95,0,False,True,True,False,False,False,True,False,False,False,True,False,19.300943396226415
Male,No,0,1,71,1,Yes,Yes,No,Yes,No,Yes,Yes,0,106.7,7382.25,0,True,False,False,True,False,False,False,False,False,False,False,True,102.53125
Female,No,1,1,10,1,No,No,No,Yes,Yes,No,No,0,55.2,528.35,1,False,False,False,False,True,False,False,True,False,False,False,False,48.03181818181818
Female,No,0,0,21,1,No,No,Yes,Yes,No,No,Yes,1,90.05,1862.9,0,True,False,False,False,False,True,False,False,True,False,False,False,84.67727272727274
Male,Yes,0,0,1,0,No phone service,No,No,Yes,No,No,Yes,1,39.65,39.65,1,False,False,False,False,False,True,False,True,False,False,False,False,19.825
Male,No,1,0,12,1,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,0,19.8,202.25,0,False,True,True,False,False,False,False,True,False,False,False,False,15.557692307692308
Male,No,0,0,1,1,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,0,20.15,20.15,1,False,True,False,False,False,False,True,True,False,False,False,False,10.075
Female,No,1,0,58,1,Yes,No,Yes,No,Yes,No,No,1,59.9,3505.1,0,False,False,False,True,True,False,False,False,False,False,True,False,59.40847457627118
Male,No,1,1,49,1,No,Yes,Yes,No,Yes,No,No,0,59.6,2970.3,0,False,False,False,False,True,False,False,False,False,False,True,False,59.406000000000006
Female,No,0,0,30,1,No,Yes,Yes,No,No,No,No,1,55.3,1530.6,0,False,False,False,False,False,False,False,False,False,True,False,False,49.37419354838709
Male,No,1,1,47,1,Yes,No,Yes,No,No,Yes,Yes,1,99.35,4749.15,1,True,False,False,False,False,True,False,False,False,True,False,False,98.940625
Male,No,1,1,1,0,No phone service,No,Yes,No,No,No,No,0,30.2,30.2,1,False,False,False,False,False,True,False,True,False,False,False,False,15.1
Male,No,1,0,72,1,Yes,Yes,Yes,Yes,Yes,Yes,Yes,1,90.25,6369.45,0,False,False,False,True,True,False,False,False,False,False,False,True,87.2527397260274
Female,No,0,1,17,1,No,No,No,No,No,Yes,Yes,1,64.7,1093.1,1,False,False,False,False,False,False,True,False,True,False,False,False,60.727777777777774
Female,Yes,1,0,71,1,Yes,Yes,Yes,Yes,Yes,No,No,1,96.35,6766.95,0,True,False,False,True,True,False,False,False,False,False,False,True,93.98541666666667
Male,Yes,1,0,2,1,No,No,No,Yes,No,Yes,Yes,1,95.5,181.65,0,True,False,False,False,True,False,False,True,False,False,False,False,60.550000000000004
Female,No,1,1,27,1,No,Yes,Yes,Yes,Yes,No,No,0,66.15,1874.45,0,False,False,True,False,False,False,True,False,False,True,False,False,66.94464285714285
Male,No,0,0,1,1,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,0,20.2,20.2,0,False,True,False,False,False,False,False,True,False,False,False,False,10.1
Male,Yes,0,0,1,1,No,No,No,No,No,No,No,0,45.25,45.25,0,False,False,False,False,False,False,False,True,False,False,False,False,22.625
Female,No,1,1,72,1,Yes,Yes,Yes,No,Yes,Yes,No,0,99.9,7251.7,0,True,False,False,True,False,False,False,False,False,False,False,True,99.33835616438355
Male,No,0,0,5,1,No,No,No,No,No,No,No,1,69.7,316.9,1,True,False,False,False,False,True,False,True,False,False,False,False,52.81666666666666
Female,No,0,0,46,1,No,No,No,Yes,No,No,No,1,74.8,3548.3,0,True,False,False,False,True,False,False,False,False,True,False,False,75.49574468085106
Male,No,0,0,34,1,Yes,No,Yes,Yes,No,Yes,Yes,1,106.35,3549.25,1,True,False,False,False,False,True,False,False,False,True,False,False,101.40714285714286
Female,No,0,0,11,1,Yes,No,No,Yes,No,Yes,Yes,1,97.85,1105.4,1,True,False,False,False,False,False,False,True,False,False,False,False,92.11666666666667
Male,No,1,1,10,1,No,No,Yes,No,No,No,No,0,49.55,475.7,0,False,False,True,False,False,False,True,True,False,False,False,False,43.24545454545454
Female,No,1,1,70,1,Yes,Yes,Yes,No,No,Yes,No,1,69.2,4872.35,0,False,False,False,True,True,False,False,False,False,False,False,True,68.62464788732395
Female,No,1,1,17,1,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,0,20.75,418.25,0,False,True,True,False,False,False,True,False,True,False,False,False,23.23611111111111
Female,No,0,0,63,1,Yes,Yes,Yes,Yes,Yes,Yes,No,1,79.85,4861.45,0,False,False,False,True,True,False,False,False,False,False,False,True,75.96015625
Female,No,1,0,13,1,Yes,Yes,Yes,No,Yes,Yes,No,1,76.2,981.45,0,False,False,False,False,False,True,False,False,True,False,False,False,70.10357142857143
Female,No,0,0,49,1,Yes,No,No,No,No,No,Yes,1,84.5,3906.7,0,True,False,False,False,False,True,False,False,False,False,True,False,78.134
Male,No,0,0,2,1,No,No,Yes,No,No,No,No,0,49.25,97.0,0,False,False,False,False,False,False,True,True,False,False,False,False,32.333333333333336
Female,No,0,0,2,1,No,No,No,No,No,Yes,No,1,80.65,144.15,1,True,False,False,False,False,True,False,True,False,False,False,False,48.050000000000004
Male,No,0,0,52,1,Yes,Yes,No,No,Yes,Yes,Yes,1,79.75,4217.8,0,False,False,False,True,True,False,False,False,False,False,True,False,79.5811320754717
Female,No,1,1,69,1,Yes,Yes,No,Yes,Yes,No,No,1,64.15,4254.1,0,False,False,False,True,True,False,False,False,False,False,False,True,60.77285714285715
Female,Yes,0,0,43,1,Yes,No,Yes,No,No,Yes,No,1,90.25,3838.75,0,True,False,False,False,False,True,False,False,False,True,False,False,87.24431818181819
Female,No,0,0,15,1,No,Yes,Yes,No,No,Yes,Yes,1,99.1,1426.4,1,True,False,False,False,True,False,False,False,True,False,False,False,89.15
Female,Yes,1,0,25,1,Yes,Yes,No,No,Yes,Yes,No,1,69.5,1752.65,0,False,False,False,False,True,False,False,False,False,True,False,False,67.40961538461539
Female,Yes,1,0,8,1,Yes,No,Yes,No,No,No,No,1,80.65,633.3,1,True,False,False,False,True,False,False,True,False,False,False,False,70.36666666666666
Female,Yes,1,1,60,1,No,Yes,Yes,Yes,Yes,No,Yes,1,74.85,4456.35,0,False,False,True,False,True,False,False,False,False,False,True,False,73.05491803278689
Male,Yes,0,0,18,1,Yes,No,No,No,No,Yes,Yes,1,95.45,1752.55,1,True,False,False,False,False,True,False,False,True,False,False,False,92.23947368421052
Female,No,1,1,63,1,Yes,Yes,No,No,No,Yes,Yes,1,99.65,6311.2,0,True,False,True,False,True,False,False,False,False,False,False,True,98.6125
Male,Yes,1,1,66,1,Yes,No,Yes,Yes,Yes,Yes,Yes,1,108.45,7076.35,0,True,False,True,False,False,True,False,False,False,False,False,True,105.61716417910448
Female,No,1,1,34,1,Yes,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,0,24.95,894.3,0,False,True,False,True,True,False,False,False,False,True,False,False,25.55142857142857
Female,No,0,0,72,1,Yes,No,No,Yes,Yes,Yes,Yes,1,107.5,7853.7,0,True,False,False,True,True,False,False,False,False,False,False,True,107.58493150684932
Female,No,1,0,47,1,Yes,No,No,Yes,No,Yes,Yes,1,100.5,4707.1,0,True,False,False,False,False,True,False,False,False,True,False,False,98.06458333333335
Male,No,0,0,60,1,Yes,No,Yes,No,No,Yes,No,1,89.9,5450.7,0,True,False,False,False,False,False,False,False,False,False,True,False,89.35573770491803
Male,No,1,0,72,0,No phone service,Yes,Yes,Yes,No,No,No,0,42.1,2962.0,0,False,False,False,True,False,False,False,False,False,False,False,True,40.57534246575342
Female,No,1,1,18,1,No,No,No,Yes,Yes,No,No,1,54.4,957.1,0,False,False,True,False,True,False,False,False,True,False,False,False,50.373684210526314
Female,No,0,0,9,1,Yes,No,No,No,No,Yes,Yes,0,94.4,857.25,1,True,False,False,False,False,True,False,True,False,False,False,False,85.725
Female,No,0,0,3,1,No,No,Yes,No,Yes,Yes,Yes,1,75.3,244.1,0,False,False,False,False,False,True,False,True,False,False,False,False,61.025
Male,No,1,0,47,1,Yes,No,Yes,No,No,No,No,1,78.9,3650.35,0,True,False,True,False,False,True,False,False,False,True,False,False,76.04895833333333
Female,No,0,0,31,1,No,No,Yes,Yes,Yes,Yes,Yes,0,79.2,2497.2,0,False,False,False,True,False,False,True,False,False,True,False,False,78.0375
Female,No,1,1,50,1,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,0,20.15,930.9,0,False,True,False,True,False,False,False,False,False,False,True,False,18.25294117647059
Male,No,0,0,10,1,No,Yes,No,Yes,No,No,No,1,79.85,887.35,0,True,False,False,False,False,False,True,True,False,False,False,False,80.66818181818182
Male,No,0,0,1,1,No,No,No,No,Yes,No,No,0,49.05,49.05,0,False,False,False,False,False,False,True,True,False,False,False,False,24.525
Female,No,1,1,52,1,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,1,20.4,1090.65,0,False,True,True,False,False,True,False,False,False,False,True,False,20.578301886792456
Male,Yes,1,1,64,1,Yes,Yes,No,Yes,Yes,Yes,Yes,1,111.6,7099.0,0,True,False,False,True,False,False,False,False,False,False,False,True,109.21538461538462
Male,No,1,1,62,1,Yes,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,1,24.25,1424.6,0,False,True,False,True,False,False,False,False,False,False,False,True,22.61269841269841
Female,No,0,1,3,1,No,Yes,No,No,Yes,No,Yes,1,64.5,177.4,0,False,False,False,False,False,False,False,True,False,False,False,False,44.35
Female,Yes,0,0,56,1,Yes,Yes,Yes,Yes,No,Yes,Yes,0,110.5,6139.5,0,True,False,True,False,False,True,False,False,False,False,True,False,107.71052631578948
Female,No,0,0,46,1,No,No,No,No,No,No,Yes,0,55.65,2688.85,0,False,False,True,False,True,False,False,False,False,True,False,False,57.2095744680851
Female,No,1,1,8,1,No,Yes,Yes,No,No,No,No,0,54.65,482.25,0,False,False,False,False,False,False,True,True,False,False,False,False,53.583333333333336
Male,Yes,0,0,30,1,No,Yes,Yes,No,No,Yes,Yes,1,74.75,2111.3,0,False,False,False,False,False,True,False,False,False,True,False,False,68.10645161290323
Female,No,1,1,45,1,Yes,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,1,25.9,1216.6,0,False,True,True,False,True,False,False,False,False,True,False,False,26.44782608695652
Female,No,0,1,1,1,No,No,No,No,No,Yes,No,1,79.35,79.35,1,True,False,False,False,False,True,False,True,False,False,False,False,39.675
Female,No,1,1,11,0,No phone service,Yes,No,No,No,Yes,Yes,0,50.55,565.35,0,False,False,False,False,False,True,False,True,False,False,False,False,47.112500000000004
Female,No,1,0,7,1,No,No,No,Yes,No,No,No,1,75.15,496.9,1,True,False,False,False,False,False,False,True,False,False,False,False,62.1125
Female,No,0,0,42,1,No,No,Yes,Yes,Yes,Yes,Yes,1,103.8,4327.5,0,True,False,False,False,False,False,False,False,False,True,False,False,100.63953488372093
Female,No,1,0,49,1,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,1,20.15,973.35,0,False,True,False,True,False,False,False,False,False,False,True,False,19.467
Male,No,0,0,9,1,Yes,No,Yes,No,No,Yes,Yes,1,99.3,918.75,0,True,False,False,False,True,False,False,True,False,False,False,False,91.875
Female,No,1,0,35,1,No,Yes,No,No,No,Yes,No,1,62.15,2215.45,0,False,False,True,False,False,False,False,False,False,True,False,False,61.540277777777774
Female,No,1,1,48,1,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,0,20.65,1057.0,0,False,True,False,True,False,False,False,False,False,True,False,False,21.571428571428573
Female,No,1,1,46,1,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,1,19.95,927.1,0,False,True,False,True,False,False,True,False,False,True,False,False,19.72553191489362
Male,No,1,0,29,0,No phone service,No,No,No,No,Yes,No,0,33.75,1009.25,0,False,False,False,False,False,False,True,False,False,True,False,False,33.641666666666666
Male,No,1,1,30,1,No,No,Yes,Yes,No,No,No,0,82.05,2570.2,0,True,False,False,False,False,False,False,False,False,True,False,False,82.90967741935484
Male,Yes,0,0,1,1,No,No,No,No,Yes,No,No,0,74.7,74.7,0,True,False,False,False,False,True,False,True,False,False,False,False,37.35
Male,No,1,1,66,1,Yes,Yes,No,Yes,Yes,Yes,Yes,1,84.0,5714.25,0,False,False,False,True,False,False,True,False,False,False,False,True,85.28731343283582
Female,No,0,0,65,1,Yes,Yes,Yes,Yes,No,Yes,Yes,1,111.05,7107.0,0,True,False,False,False,True,False,False,False,False,False,False,True,107.68181818181819
Male,No,0,0,72,1,Yes,No,Yes,Yes,No,Yes,Yes,1,100.9,7459.05,0,True,False,False,True,False,False,False,False,False,False,False,True,102.17876712328767
Female,No,0,0,12,1,Yes,Yes,No,No,No,No,No,1,78.95,927.35,1,True,False,False,False,False,True,False,True,False,False,False,False,71.33461538461539
Male,No,1,1,71,1,Yes,Yes,Yes,No,Yes,No,No,1,66.85,4748.7,0,False,False,True,False,True,False,False,False,False,False,False,True,65.95416666666667
Male,No,0,0,5,1,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,0,21.05,113.85,1,False,True,False,False,False,False,True,True,False,False,False,False,18.974999999999998
Male,No,0,0,52,1,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,0,21.0,1107.2,0,False,True,False,True,False,False,False,False,False,False,True,False,20.89056603773585
Female,Yes,1,0,25,1,No,No,Yes,Yes,No,Yes,Yes,1,98.5,2514.5,1,True,False,False,False,False,True,False,False,False,True,False,False,96.71153846153847
Male,No,0,0,1,1,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,0,20.2,20.2,0,False,True,False,False,False,False,True,True,False,False,False,False,10.1
Female,No,1,1,1,1,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,0,19.45,19.45,0,False,True,False,False,False,True,False,True,False,False,False,False,9.725
Male,No,0,0,38,1,Yes,No,No,Yes,Yes,Yes,No,0,95.0,3605.6,0,True,False,True,False,False,False,False,False,False,True,False,False,92.45128205128205
Female,Yes,1,0,66,0,No phone service,No,Yes,Yes,No,Yes,No,0,45.55,3027.25,0,False,False,True,False,False,False,False,False,False,False,False,True,45.18283582089552
Male,No,1,0,68,1,Yes,No,Yes,Yes,Yes,Yes,Yes,1,110.0,7611.85,1,True,False,False,True,False,False,False,False,False,False,False,True,110.31666666666668
Male,No,0,0,5,0,No phone service,No,No,No,No,No,No,0,24.3,100.2,0,False,False,False,False,False,False,True,True,False,False,False,False,16.7
Female,No,1,1,72,1,Yes,Yes,Yes,No,No,Yes,Yes,1,104.15,7303.05,0,True,False,True,False,False,True,False,False,False,False,False,True,100.04178082191781
Female,No,0,0,32,0,No phone service,Yes,No,No,No,No,No,0,30.15,927.65,0,False,False,True,False,False,False,True,False,False,True,False,False,28.11060606060606
Male,No,0,0,43,1,Yes,No,No,No,No,Yes,Yes,0,94.35,3921.3,0,True,False,True,False,False,False,True,False,False,True,False,False,89.12045454545455
Male,No,1,1,72,1,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,0,19.4,1363.25,0,False,True,False,True,True,False,False,False,False,False,False,True,18.674657534246574
Male,No,1,0,55,1,Yes,Yes,Yes,No,No,Yes,No,1,96.75,5238.9,1,True,False,False,False,False,True,False,False,False,False,True,False,93.55178571428571
Female,No,0,0,52,1,No,Yes,No,Yes,Yes,No,No,0,57.95,3042.25,0,False,False,True,False,True,False,False,False,False,False,True,False,57.40094339622642
Female,No,0,0,43,1,No,No,Yes,Yes,No,Yes,No,1,91.65,3954.1,0,True,False,False,False,False,True,False,False,False,True,False,False,89.86590909090908
Female,Yes,1,0,37,1,Yes,No,No,No,No,No,No,1,76.5,2868.15,1,True,False,False,False,False,True,False,False,False,True,False,False,75.47763157894737
Female,No,1,1,64,0,No phone service,No,Yes,No,Yes,Yes,Yes,1,54.6,3423.5,0,False,False,False,True,False,True,False,False,False,False,False,True,52.66923076923077
Male,No,1,1,3,1,No,Yes,Yes,No,No,Yes,No,0,89.85,248.4,0,True,False,False,False,False,True,False,True,False,False,False,False,62.1
Female,No,0,0,36,0,No phone service,Yes,No,No,No,No,No,0,31.05,1126.35,0,False,False,False,True,False,False,False,False,False,True,False,False,30.44189189189189
Female,No,1,1,10,1,Yes,Yes,No,No,No,Yes,Yes,1,100.25,1064.65,1,True,False,False,False,False,True,False,True,False,False,False,False,96.78636363636365
Female,No,0,0,41,1,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,0,20.65,835.15,0,False,True,False,True,False,False,True,False,False,True,False,False,19.88452380952381
Male,No,1,1,27,1,Yes,No,Yes,No,Yes,No,No,1,85.2,2151.6,0,True,False,False,False,True,False,False,False,False,True,False,False,76.84285714285714
Female,No,1,1,56,1,Yes,No,No,Yes,No,Yes,Yes,1,99.8,5515.45,0,True,False,True,False,True,False,False,False,False,False,True,False,96.76228070175438
Female,No,0,0,6,1,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,0,20.7,112.75,0,False,True,False,False,False,False,True,True,False,False,False,False,16.107142857142858
Male,No,0,0,3,1,Yes,No,No,No,No,No,No,1,74.4,229.55,1,True,False,False,False,False,True,False,True,False,False,False,False,57.3875
Female,No,1,1,7,1,No,Yes,No,No,No,No,No,0,50.7,350.35,0,False,False,False,False,False,False,True,True,False,False,False,False,43.79375
Female,No,1,1,4,1,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,0,20.85,62.9,0,False,True,False,False,False,False,True,True,False,False,False,False,12.58
Male,No,0,0,33,1,No,Yes,No,No,Yes,Yes,No,1,88.95,3027.65,0,True,False,False,True,False,True,False,False,False,True,False,False,89.0485294117647
Female,Yes,0,0,27,1,Yes,No,No,Yes,No,No,No,1,78.05,2135.5,1,True,False,False,False,False,True,False,False,False,True,False,False,76.26785714285714
Male,No,1,0,72,1,Yes,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,1,23.55,1723.95,0,False,True,False,True,False,False,False,False,False,False,False,True,23.615753424657534
Male,No,0,0,1,1,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,0,19.75,19.75,0,False,True,False,False,False,False,True,True,False,False,False,False,9.875
Male,Yes,0,0,71,0,No phone service,Yes,Yes,No,No,Yes,Yes,1,56.45,3985.35,0,False,False,True,False,False,True,False,False,False,False,False,True,55.35208333333333
Female,No,0,0,13,1,Yes,No,No,No,No,No,Yes,1,85.95,1215.65,0,True,False,False,False,False,True,False,False,True,False,False,False,86.83214285714287
Female,No,1,1,25,0,No phone service,Yes,Yes,Yes,No,Yes,Yes,1,58.6,1502.65,1,False,False,False,False,True,False,False,False,False,True,False,False,57.79423076923077
Male,No,0,0,67,1,No,No,No,No,Yes,No,No,0,50.55,3260.1,0,False,False,False,True,False,False,False,False,False,False,False,True,47.942647058823525
Male,No,0,0,1,0,No phone service,No,No,No,No,No,Yes,1,35.45,35.45,1,False,False,False,False,False,True,False,True,False,False,False,False,17.725
Male,No,0,0,2,1,No,No,No,No,No,No,No,0,44.35,81.25,1,False,False,False,False,False,True,False,True,False,False,False,False,27.083333333333332
Female,No,0,0,43,1,Yes,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,1,25.7,1188.2,0,False,True,False,True,True,False,False,False,False,True,False,False,27.004545454545454
Female,No,0,0,23,1,No,Yes,No,No,No,No,No,1,75.0,1778.5,0,True,False,False,False,False,False,False,False,True,False,False,False,74.10416666666667
Female,No,1,1,64,1,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,0,20.2,1277.75,0,False,True,False,True,False,False,True,False,False,False,False,True,19.657692307692308
Male,No,0,1,57,1,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,1,19.6,1170.55,0,False,True,False,True,False,False,True,False,False,False,True,False,20.181896551724137
Female,Yes,1,0,1,1,No,No,No,No,No,No,No,1,70.45,70.45,1,True,False,False,False,False,False,True,True,False,False,False,False,35.225
Female,Yes,1,1,72,1,Yes,Yes,Yes,Yes,Yes,Yes,Yes,1,88.05,6425.65,0,False,False,False,True,True,False,False,False,False,False,False,True,88.02260273972603
Female,No,0,0,8,1,Yes,Yes,No,No,Yes,No,Yes,0,71.15,563.65,1,False,False,False,False,False,True,False,True,False,False,False,False,62.62777777777777
Female,No,1,0,61,1,Yes,No,Yes,No,No,Yes,Yes,1,101.05,5971.25,0,True,False,False,True,False,False,False,False,False,False,False,True,96.31048387096774
Male,No,0,0,64,1,Yes,Yes,Yes,No,No,No,No,1,84.3,5289.05,0,True,False,True,False,True,False,False,False,False,False,False,True,81.37
Male,Yes,1,0,71,1,Yes,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,0,23.95,1756.2,0,False,True,False,True,False,False,False,False,False,False,False,True,24.391666666666666
Female,No,1,1,65,1,Yes,Yes,Yes,No,Yes,Yes,No,1,99.05,6416.7,0,True,False,False,True,True,False,False,False,False,False,False,True,97.22272727272727
Male,No,0,0,3,1,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,0,19.6,61.35,0,False,True,True,False,False,False,True,True,False,False,False,False,15.3375
Male,No,0,0,1,1,No,No,No,No,No,No,No,1,45.65,45.65,1,False,False,False,False,False,True,False,True,False,False,False,False,22.825
Male,No,0,1,30,1,No,No,Yes,Yes,No,Yes,No,0,64.5,1929.95,0,False,False,True,False,True,False,False,False,False,True,False,False,62.25645161290323
Male,No,1,1,15,1,No,No,Yes,Yes,Yes,No,Yes,1,69.5,1071.4,0,False,False,False,False,False,False,True,False,True,False,False,False,66.9625
Female,No,1,1,8,1,No,No,No,No,Yes,Yes,Yes,1,68.55,564.35,0,False,False,False,False,False,True,False,True,False,False,False,False,62.705555555555556
Male,No,0,0,7,1,Yes,No,No,No,No,Yes,Yes,0,95.0,655.5,1,True,False,False,False,False,False,True,True,False,False,False,False,81.9375
Female,No,1,1,70,1,Yes,Yes,Yes,Yes,No,Yes,Yes,1,108.15,7930.55,0,True,False,True,False,True,False,False,False,False,False,False,True,111.69788732394366
Male,No,1,1,62,1,No,Yes,Yes,Yes,Yes,Yes,Yes,0,86.1,5215.25,0,False,False,False,True,False,True,False,False,False,False,False,True,82.78174603174604
Female,No,1,1,6,1,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,0,19.7,113.5,0,False,True,False,False,False,False,True,True,False,False,False,False,16.214285714285715
Female,No,1,1,14,1,No,No,No,No,No,No,Yes,1,80.9,1152.8,0,True,False,False,False,False,False,False,False,True,False,False,False,76.85333333333332
Female,No,0,0,22,1,Yes,No,No,No,No,Yes,No,1,84.15,1821.95,0,True,False,False,False,False,False,False,False,True,False,False,False,79.21521739130435
Male,No,1,1,22,1,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,0,20.15,419.9,0,False,True,True,False,False,False,True,False,True,False,False,False,18.256521739130434
Male,No,1,1,16,1,No,Yes,No,Yes,No,Yes,No,0,64.25,1024.0,0,False,False,False,True,False,False,True,False,True,False,False,False,60.23529411764706
Male,No,0,0,10,1,Yes,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,0,25.7,251.6,0,False,True,False,True,False,False,False,True,False,False,False,False,22.87272727272727
Female,No,0,1,13,1,No,Yes,Yes,No,No,No,No,1,56.0,764.55,0,False,False,False,False,False,True,False,False,True,False,False,False,54.61071428571428
Female,No,1,0,20,1,Yes,Yes,No,No,No,No,No,0,82.4,1592.35,1,True,False,False,False,False,True,False,False,True,False,False,False,75.82619047619048
Female,No,0,0,2,1,No,No,No,No,No,No,No,1,69.7,135.2,0,True,False,False,False,False,True,False,True,False,False,False,False,45.06666666666666
Male,No,0,0,53,1,Yes,No,Yes,Yes,Yes,No,Yes,1,73.9,3958.25,0,False,False,False,True,False,False,False,False,False,False,True,False,73.30092592592592
Female,No,1,1,11,1,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,0,20.6,233.9,0,False,True,True,False,False,False,True,True,False,False,False,False,19.491666666666667
Male,No,1,0,69,1,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,0,19.9,1363.45,0,False,True,False,True,False,False,True,False,False,False,False,True,19.477857142857143
Female,No,0,0,4,1,No,No,No,No,No,No,No,1,70.9,273.0,1,True,False,False,False,False,False,False,True,False,False,False,False,54.6
Male,No,1,0,72,1,Yes,Yes,Yes,Yes,Yes,Yes,Yes,1,89.05,6254.45,0,False,False,False,True,False,False,False,False,False,False,False,True,85.67739726027396
